date,interest_rate,inflation,market_index,stock_price,stock_return,ir_change,infla_change
2021-01-05,0.5278357076505616,1.6668431720312666,4471.382081994526,130.7966734445272,0.0061282572655938505,0.027835707650561647,0.16684317203126664
2021-01-06,0.5239224925920024,1.6548771735269707,4466.579709083831,127.96021750525966,-0.0216859944872414,-0.0039132150585592385,-0.011965998504295916
2021-01-07,0.559306919497037,1.6203634019912136,4448.678100413005,127.82427300473084,-0.0010623966040322896,0.03538442690503463,-0.034513771535757076
2021-01-08,0.6384584123174383,1.5075090550413968,4402.037790965397,125.45985894749403,-0.018497379266528724,0.07915149282040124,-0.11285434694981689
2021-01-11,0.6297507435812715,1.5240347213784105,4399.9994771211495,125.26786361425913,-0.0015303327681506218,-0.008707668736166796,0.01652566633701369
2021-01-12,0.6210438957338125,1.4373491081253817,4397.036097696472,125.68813754309707,0.0033550019670816056,-0.00870684784745901,-0.0866856132530287
2021-01-13,0.703004536509182,1.4140643875742815,4434.8484151251805,126.25432105237354,0.004504669417050744,0.08196064077536958,-0.023284720551100202
2021-01-14,0.7443762729668275,1.5887351854784497,4450.528274450932,125.77642098330602,-0.003785217528271878,0.04137173645764547,0.17467079790416817
2021-01-15,0.7239025536700799,1.5421329250691012,4424.993283948344,124.96167608445458,-0.00647772366618371,-0.020473719296747572,-0.04660226040934856
2021-01-18,0.7540305558493782,1.5986101845570677,4471.323257075211,124.90083561870262,-0.0004868729970526342,0.03012800217929823,0.05647725948796656
2021-01-19,0.7338596712087551,1.5034422974463226,4501.942820114613,124.29848106701398,-0.00482266230409778,-0.02017088464062311,-0.09516788711074509
2021-01-20,0.7135731835302422,1.465099108080342,4516.560663486153,125.80185875384404,0.012094899904847134,-0.02028648767851282,-0.03834318936598069
2021-01-21,0.728671297108544,1.5736239074374518,4510.862220124366,123.8882020383166,-0.01521167282012803,0.015098113578301708,0.1085247993571099
2021-01-22,0.636007284875654,1.4812737947991497,4487.026545472384,124.10211129362747,0.0017266313643384823,-0.09266401223288989,-0.09235011263830217
2021-01-25,0.5527613932500024,1.5844866213691924,4477.766366370623,124.48865676322747,0.0031147372560440534,-0.08324589162565166,0.10321282657004271
2021-01-26,0.5276470167879538,1.5935489939994747,4505.0306421780815,122.80953224334439,-0.013488172846757518,-0.025114376462048615,0.009062372630282312
